addee, addor, resnum, remres, remnum, remrem
12, 52, 04, 05, true, true
12, 53, 05, 06, true, true
12, 54, 06, 07, true, true
12, 55, 07, 08, true, true
12, 56, 08, 09, true, true
12, 57, 09, 10, true, true
12, 58, 10, 11, true, true
12, 59, 11, 12, true, true
13, 00, 13, 14, false, false
13, 01, 14, 15, false, false
13, 02, 15, 16, false, false
13, 03, 16, 17, false, false
13, 04, 17, 18, false, false
13, 05, 18, 19, false, false
13, 06, 19, 20, false, false
13, 07, 20, 21, false, false
13, 08, 21, 22, false, false
13, 09, 22, 23, false, false
13, 10, 23, 24, false, false
13, 11, 24, 25, false, false
13, 12, 25, 26, false, false
13, 13, 26, 27, false, false
13, 14, 27, 28, false, false
13, 15, 28, 29, false, false
13, 16, 29, 30, false, false
13, 17, 30, 31, false, false
13, 18, 31, 32, false, false
13, 19, 32, 33, false, false
13, 20, 33, 34, false, false
13, 21, 34, 35, false, false
13, 22, 35, 36, false, false
13, 23, 36, 37, false, false
13, 24, 37, 38, false, false
13, 25, 38, 39, false, false
13, 26, 39, 40, false, false
13, 27, 40, 41, false, false
13, 28, 41, 42, false, false
13, 29, 42, 43, false, false
13, 30, 43, 44, false, false
13, 31, 44, 45, false, false
13, 32, 45, 46, false, false
13, 33, 46, 47, false, false
13, 34, 47, 48, false, false
13, 35, 48, 49, false, false
13, 36, 49, 50, false, false
13, 37, 50, 51, false, false
13, 38, 51, 52, false, false
13, 39, 52, 53, false, false
13, 40, 53, 54, false, false
13, 41, 54, 55, false, false
13, 42, 55, 56, false, false
13, 43, 56, 57, false, false
13, 44, 57, 58, false, false
13, 45, 58, 59, false, false
13, 46, 59, 00, false, true
13, 47, 00, 01, true, true
13, 48, 01, 02, true, true
13, 49, 02, 03, true, true
13, 50, 03, 04, true, true
13, 51, 04, 05, true, true
13, 52, 05, 06, true, true
13, 53, 06, 07, true, true
13, 54, 07, 08, true, true
13, 55, 08, 09, true, true
13, 56, 09, 10, true, true
13, 57, 10, 11, true, true
13, 58, 11, 12, true, true
13, 59, 12, 13, true, true
14, 00, 14, 15, false, false
14, 01, 15, 16, false, false
14, 02, 16, 17, false, false
14, 03, 17, 18, false, false
14, 04, 18, 19, false, false
14, 05, 19, 20, false, false
14, 06, 20, 21, false, false
14, 07, 21, 22, false, false
14, 08, 22, 23, false, false
14, 09, 23, 24, false, false
14, 10, 24, 25, false, false
14, 11, 25, 26, false, false
14, 12, 26, 27, false, false
14, 13, 27, 28, false, false
14, 14, 28, 29, false, false
14, 15, 29, 30, false, false
14, 16, 30, 31, false, false
14, 17, 31, 32, false, false
14, 18, 32, 33, false, false
14, 19, 33, 34, false, false
14, 20, 34, 35, false, false
14, 21, 35, 36, false, false
14, 22, 36, 37, false, false
14, 23, 37, 38, false, false
14, 24, 38, 39, false, false
14, 25, 39, 40, false, false
14, 26, 40, 41, false, false
14, 27, 41, 42, false, false
14, 28, 42, 43, false, false
14, 29, 43, 44, false, false
14, 30, 44, 45, false, false
14, 31, 45, 46, false, false
14, 32, 46, 47, false, false
14, 33, 47, 48, false, false
14, 34, 48, 49, false, false
14, 35, 49, 50, false, false
14, 36, 50, 51, false, false
14, 37, 51, 52, false, false
14, 38, 52, 53, false, false
